1-комн. квартира, 34,8 м², 8/18 этаж;1;34,8;8/18;Республика Татарстан;Казань;р-н Приволжский;м. Аметьево;;6 053 000 ;301723007;1
Продается квартира с террасой;1;34,8;8/18;Республика Татарстан;Казань;р-н Вахитовский;м. Площадь Тукая;улица Волкова;23 951 000 ;301723007;1
1-комн. квартира, 49,2 м², 9/11 этаж;1;49,2;9/11;Республика Татарстан;Казань;р-н Приволжский;;м. Дубравная;7 999 999 ;301018874;1
1-комн. квартира, 32,9 м², 3/17 этаж;1;32,9;3/17;Республика Татарстан;Казань;р-н Советский;м. Горки;;6 373 651 ;299214803;1
1-комн. квартира, 51 м², 2/24 этаж;1;51;2/24;Республика Татарстан;Казань;р-н Кировский;;м. Козья слобода;12 990 000 ;301802769;1
1-комн. квартира, 35,8 м², 24/25 этаж;1;35,8;24/25;Республика Татарстан;Казань;р-н Советский;мкр. Малые Клыки;м. Горки;7 339 000 ;293386711;1
1ком. улучшенка, 2ая Азинская д.1;1;2ая;д.1;Республика Татарстан;Казань;р-н Советский;м. Суконная слобода;улица 2-я Азинская;6 650 000 ;300752223;1
1-комн. квартира, 40,28 м², 5/8 этаж;1;40,28;5/8;Республика Татарстан;Казань;р-н Кировский;;м. Козья слобода;10 405 000 ;297816357;1
1-комн. квартира, 33,01 м², 9/9 этаж;1;33,01;9/9;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Северный Вокзал;улица Голубятникова;5 100 000 ;286984024;1
1-комн. квартира, 36,3 м², 2/14 этаж;1;36,3;2/14;Республика Татарстан;Казань;р-н Приволжский;м. Проспект Победы;;7 201 000 ;298644201;1
1-комн. квартира, 36,91 м², 13/16 этаж;1;36,91;13/16;Республика Татарстан;Казань;р-н Советский;мкр. Дальний;м. Горки;8 935 500 ;300723053;1
1-комн. квартира, 20,1 м², 8/9 этаж;1;20,1;8/9;Республика Татарстан;Казань;р-н Авиастроительный;мкр. Караваево;м. Авиастроительная;3 598 000 ;301667251;1
1-комн. квартира, 50,66 м², 3/28 этаж;1;50,66;3/28;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;;16 471 390 ;300469669;1
1-комн. квартира, 36,9 м², 6/9 этаж;1;36,9;6/9;Республика Татарстан;Казань;р-н Приволжский;мкр. Горки-1;м. Проспект Победы;6 000 000 ;299335301;1
1-комн. квартира, 51,5 м², 6/9 этаж;1;51,5;6/9;Республика Татарстан;Казань;р-н Приволжский;м. Суконная слобода;улица Шаляпина;25 000 000 ;297835200;1
1-комн. квартира, 34,6 м², 3/6 этаж;1;34,6;3/6;Республика Татарстан;Казань;р-н Советский;м. Дубравная;;5 799 000 ;284393216;1
1-комн. квартира, 24,49 м², 5/15 этаж;1;24,49;5/15;Республика Татарстан;Казань;р-н Вахитовский;м. Площадь Тукая;;9 553 476 ;273695755;1
1-комн. квартира, 40 м², 10/16 этаж;1;40;10/16;Республика Татарстан;Казань;р-н Советский;мкр. Азино-1;м. Горки;6 500 000 ;301495138;1
1-комн. квартира, 51,4 м², 2/4 этаж;1;51,4;2/4;Республика Татарстан;Казань;р-н Вахитовский;;м. Площадь Тукая;15 677 000 ;299733208;1
